28-03 NEW JERSEY      COASTAL                       .0737 3967  7423    00002170
29-00 NEW MEXICO              121445     221  121666                    00002180
29-01 NEW MEXICO      NORTH WEST PLATEAU            .1119 3611 10819    00002190
29-02 NEW MEXICO      NORTHERN MOUNTAINS            .1522 3617 10565    00002200
29-03 NEW MEXICO      NORTH EASTERN PLAINS          .1237 3540 10352    00002210
29-04 NEW MEXICO      SOUTHWESTERN MOUNTAINS        .1182 3414 10677    00002220
29-05 NEW MEXICO      CENTRAL      VALLEY           .0794 3371 10797    00002230
29-06 NEW MEXICO      CENTRAL  HIGHLANDS            .0791 3415 10575    00002240
29-07 NEW MEXICO      SOUTHEASTERN PLAINS           .1800 3324 10411    00002250
29-08 NEW MEXICO      SOUTHERN  DESERT              .1555 3230 10719    00002260
30-00 NEW YORK                 47869    1707   49576                    00002270
30-01 NEW YORK        WESTERN PLATEAU               .0867 4223  7784    00002280
30-02 NEW YORK        EASTERN PLATEAU               .1828 4232  7507    00002290
30-03 NEW YORK        NORTHERN PLATEAU              .1422 4384  7466    00002300
30-04 NEW YORK              COASTAL                 .0366 4093  7304    00002310
30-05 NEW YORK        HUDSON    VALLEY              .1286 4252  7371    00002320
30-06 NEW YORK        MOHAWK    VALLEY              .0551 4312  7500    00002330
30-07 NEW YORK        CHAMPLAIN VALLEY              .0620 4421  7365    00002340
30-08 NEW YORK        ST. LAWRENCE VALLEY           .0595 4463  7487    00002350
30-09 NEW YORK        GREAT        LAKES            .1473 4313  7737    00002360
30-10 NEW YORK        CENTRAL      LAKES            .0992 4278  7703    00002370
31-00 NORTH CAROLINA           48880    3706   52586                    00002380
31-01 NORTH CAROLINA  SOUTHERN MOUNTAINS            .1464 3549  8284    00002390
31-02 NORTH CAROLINA  NORTHERN MOUNTAINS            .0680 3625  8115    00002400
31-03 NORTH CAROLINA  NORTHERN PIEDMONT             .1182 3620  7908    00002410
31-04 NORTH CAROLINA   CENTRAL PIEDMONT             .1061 3572  8014    00002420
31-05 NORTH CAROLINA  SOUTHERN PIEDMONT             .1087 3520  8037    00002430
31-06 NORTH CAROLINA  SOUTHERN COASTAL              .1862 3467  7843    00002440
31-07 NORTH CAROLINA  CENTRAL  COASTAL PLAIN        .1339 3529  7712    00002450
31-08 NORTH CAROLINA  NORTHERN COASTAL PLAIN        .1325 3607  7692    00002460
32-00 NORTH DAKOTA             69280    1385   70665                    00002470
32-01 NORTH DAKOTA    NORTH WEST                    .1327 4846 10254    00002480
32-02 NORTH DAKOTA    NORTH CENTRAL                 .1003 4839 10024    00002490
32-03 NORTH DAKOTA    NORTH EAST                    .1240 4831  9816    00002500
32-04 NORTH DAKOTA    WEST  CENTRAL                 .1234 4748 10235    00002510
32-05 NORTH DAKOTA          CENTRAL                 .1039 4727  9944    00002520
32-06 NORTH DAKOTA    EAST  CENTRAL                 .0794 4713  9761    00002530
32-07 NORTH DAKOTA    SOUTH WEST                    .1151 4654 10307    00002540
32-08 NORTH DAKOTA    SOUTH CENTRAL                 .1140 4649 10093    00002550
32-09 NORTH DAKOTA    SOUTH EAST                    .1072 4628  9830    00002560
33-00 OHIO                     41018     204   41222                    00002570
33-01 OHIO            NORTH WEST                    .1188 4117  8410    00002580
33-02 OHIO            NORTH CENTRAL                 .0803 4112  8283    00002590
33-03 OHIO            NORTH EAST                    .0918 4136  8122    00002600
33-04 OHIO            WEST  CENTRAL                 .0986 4031  8411    00002610
